,question,answer,contexts,faithfulness,answer_relevancy,context_relevancy
0,Quelle est le but de définir certain termes dans les GCP?,Le but de définir certains termes dans les CGP (Conditions Générales de Partenariat) est d'éviter toute ambigüité entre les parties quant à leur signification exacte. Ces définitions s'imposent aux parties et aident à clarifier et à préciser le contenu du contrat.,"['Agilitaton – Conditons générales de partenariat \n\n1.Définitons de certains termes applicables aux CGP \n\na.Dans les CGP, certains termes font l’objet d’une définition prévue dans cet article afin d’éviter toute ambigüité entre les parties quant à leur signification exacte. \nb.Ces définitions s’imposent donc aux Parties. \n- Annexe(s) : désigne le(s) document(s) que les parties rédigent séparément et joignent au contrat. L’annexe s’intègre aux CGP et constitue un tout indissociable avec lui.']",1.0,0.8917202549978138,0.16666666666666666
1,l'annexe peut-elle être séparée des GCP?,"Non, l'annexe ne peut pas être séparée des CGP. Selon la définition fournie, l'annexe est un document qui s'intègre aux CGP et constitue un tout indissociable avec lui.","['Agilitaton – Conditons générales de partenariat \n\n1.Définitons de certains termes applicables aux CGP \n\na.Dans les CGP, certains termes font l’objet d’une définition prévue dans cet article afin d’éviter toute ambigüité entre les parties quant à leur signification exacte. \nb.Ces définitions s’imposent donc aux Parties. \n- Annexe(s) : désigne le(s) document(s) que les parties rédigent séparément et joignent au contrat. L’annexe s’intègre aux CGP et constitue un tout indissociable avec lui.']",1.0,0.0,0.3333333333333333
2,Par quel terem générique est désigné le GCP?,"Le terme générique désignant le GCP est ""Conditions Générales de Partenariat"".","['Agilitaton – Conditons générales de partenariat \n\n1.Définitons de certains termes applicables aux CGP \n\na.Dans les CGP, certains termes font l’objet d’une définition prévue dans cet article afin d’éviter toute ambigüité entre les parties quant à leur signification exacte. \nb.Ces définitions s’imposent donc aux Parties. \n- Annexe(s) : désigne le(s) document(s) que les parties rédigent séparément et joignent au contrat. L’annexe s’intègre aux CGP et constitue un tout indissociable avec lui.']",1.0,0.937172122970885,0.16666666666666666
3,Quelle est la signification de RGPD?,"La signification de RGPD est ""Règlement Général sur la Protection des Données"". Il s'agit d'un règlement européen (UE) 2016/679 du Parlement Européen et du Conseil du 27 avril 2016 qui protège les données à caractère personnel.",[' \n- RGPD : ou « règlement général sur la protection des données » Règlement (UE) 2016/679 du Parlement Européen et du Conseil du 27 avril 2016 : il s’agit du règlement européen protégeant les données à caractère personnelles Supports : partenaires commerciaux supports de diffusion des campagnes de marketing mises en place par Agilitation \n\n2.Objet du contrat. \na.Le Contrat fixe les règles de collaboration entre les parties et prime sur tout autre document contractuel qui est dès lors inopposable à Agilitation. \nb.Le Contrat peut être complété par des annexes qui peuvent y déroger et/ou le compléter dès lors qu’elles sont signées par les Parties. \n\n3.Compréhension des objectifs poursuivis par le Contrat. \na.'],1.0,0.9305377369280813,0.5
4,De quand date le RGPD?,Le RGPD date du 27 avril 2016.,[' \n- RGPD : ou « règlement général sur la protection des données » Règlement (UE) 2016/679 du Parlement Européen et du Conseil du 27 avril 2016 : il s’agit du règlement européen protégeant les données à caractère personnelles Supports : partenaires commerciaux supports de diffusion des campagnes de marketing mises en place par Agilitation \n\n2.Objet du contrat. \na.Le Contrat fixe les règles de collaboration entre les parties et prime sur tout autre document contractuel qui est dès lors inopposable à Agilitation. \nb.Le Contrat peut être complété par des annexes qui peuvent y déroger et/ou le compléter dès lors qu’elles sont signées par les Parties. \n\n3.Compréhension des objectifs poursuivis par le Contrat. \na.'],1.0,0.9688236349257694,0.0
5,Sur quoi prévaut le contract et ses règles de collaboration?,"Le contrat et ses règles de collaboration prévalent sur l'expression des demandes des parties, la compréhension et l'acceptation du périmètre des missions confiées, la collaboration active pour atteindre les objectifs du partenariat, la réactivité en cas de besoin d'un accord préalable, et la communication des éléments nécessaires à la réalisation des prestations dans les meilleurs délais ou dans le respect des dispositions particulières prévues entre eux.","['En signant le Contrat, les Parties déclarent qu’elles ont pu exprimer l’ensemble de leurs demandes. \nb.Les Parties déclarent qu’elles ont pu obtenir toutes les réponses à leurs questions et que le périmètre des missions confiées a parfaitement été compris et accepté.\n\n\n4.Collaboration des parties\na.Les Parties conviennent de collaborer activement pour atteindre les objectifs de leur partenariat.\nb.Quand la mise en place d’une démarche nécessite un accord préalable d’une Partie, les Parties font preuve de réactivité pour formaliser une réponse.\nc.Les Parties se communiquent les éléments nécessaires à la réalisation des prestations dans les meilleurs délais ou dans le respect des dispositions particulières prévues entre eux.\n\n\n5.Intuitu personae\na.']",0.0,0.91587020073701,0.125
6,Par quoi peut être complété le contract?,"Le contrat peut être complété par des clauses spécifiques relatives à l'intuitu personae, qui stipulent que les obligations et les droits découlant du contrat ne peuvent être transférés à une autre personne sans l'accord des deux parties. Ces clauses peuvent inclure des dispositions concernant la confidentialité, la non-concurrence et la non-sollicitation.","['En signant le Contrat, les Parties déclarent qu’elles ont pu exprimer l’ensemble de leurs demandes. \nb.Les Parties déclarent qu’elles ont pu obtenir toutes les réponses à leurs questions et que le périmètre des missions confiées a parfaitement été compris et accepté.\n\n\n4.Collaboration des parties\na.Les Parties conviennent de collaborer activement pour atteindre les objectifs de leur partenariat.\nb.Quand la mise en place d’une démarche nécessite un accord préalable d’une Partie, les Parties font preuve de réactivité pour formaliser une réponse.\nc.Les Parties se communiquent les éléments nécessaires à la réalisation des prestations dans les meilleurs délais ou dans le respect des dispositions particulières prévues entre eux.\n\n\n5.Intuitu personae\na.']",1.0,0.8663682499821345,0.125
7,Quelle est la condition pour que les annexes dérogent ou complètent le contract?,"Le document ne fournit pas d'information spécifique sur la condition pour que les annexes dérogent ou complètent le contrat. Cependant, il est mentionné que les annexes sont des documents que les parties rédigent séparément et joignent au contrat, et qu'elles s'intègrent aux CGP et constituent un tout indissociable avec lui. Il est donc possible que les annexes puissent déroger ou compléter le contrat si elles sont rédigées et jointes de cette manière.","['Agilitaton – Conditons générales de partenariat \n\n1.Définitons de certains termes applicables aux CGP \n\na.Dans les CGP, certains termes font l’objet d’une définition prévue dans cet article afin d’éviter toute ambigüité entre les parties quant à leur signification exacte. \nb.Ces définitions s’imposent donc aux Parties. \n- Annexe(s) : désigne le(s) document(s) que les parties rédigent séparément et joignent au contrat. L’annexe s’intègre aux CGP et constitue un tout indissociable avec lui.']",,0.9525595535200785,0.3333333333333333
8,La signature du contract par les parties engage ...,"La signature du contrat par les parties engage leur collaboration active pour atteindre les objectifs du partenariat, leur réactivité pour formaliser une réponse en cas de besoin d'un accord préalable, et leur communication des éléments nécessaires à la réalisation des prestations dans les meilleurs délais. De plus, en signant le contrat, les parties déclarent avoir pu exprimer toutes leurs demandes, obtenir toutes les réponses à leurs questions et comprendre et accepter parfaitement le périmètre des missions confiées.","['En signant le Contrat, les Parties déclarent qu’elles ont pu exprimer l’ensemble de leurs demandes. \nb.Les Parties déclarent qu’elles ont pu obtenir toutes les réponses à leurs questions et que le périmètre des missions confiées a parfaitement été compris et accepté.\n\n\n4.Collaboration des parties\na.Les Parties conviennent de collaborer activement pour atteindre les objectifs de leur partenariat.\nb.Quand la mise en place d’une démarche nécessite un accord préalable d’une Partie, les Parties font preuve de réactivité pour formaliser une réponse.\nc.Les Parties se communiquent les éléments nécessaires à la réalisation des prestations dans les meilleurs délais ou dans le respect des dispositions particulières prévues entre eux.\n\n\n5.Intuitu personae\na.']",1.0,0.8685345479251542,0.125
9,Les parties doivent-elles colllaborer pour atteindre l'objectif? Ou bien que l'une des deux?,Les parties doivent collaborer pour atteindre l'objectif.,"['En signant le Contrat, les Parties déclarent qu’elles ont pu exprimer l’ensemble de leurs demandes. \nb.Les Parties déclarent qu’elles ont pu obtenir toutes les réponses à leurs questions et que le périmètre des missions confiées a parfaitement été compris et accepté.\n\n\n4.Collaboration des parties\na.Les Parties conviennent de collaborer activement pour atteindre les objectifs de leur partenariat.\nb.Quand la mise en place d’une démarche nécessite un accord préalable d’une Partie, les Parties font preuve de réactivité pour formaliser une réponse.\nc.Les Parties se communiquent les éléments nécessaires à la réalisation des prestations dans les meilleurs délais ou dans le respect des dispositions particulières prévues entre eux.\n\n\n5.Intuitu personae\na.']",1.0,0.8690154565955478,0.125
