,question,answer,contexts,faithfulness,answer_relevancy,context_relevancy
0,Quelle est le but de définir certain termes dans les GCP?,"Le but de définir certains termes dans les CGP (Conditions Générales de Partenariat) est d'éviter toute ambigüité entre les parties quant à leur signification exacte. Ces définitions s'imposent aux parties et aident à clarifier les termes et conditions du contrat, assurant ainsi une compréhension claire et commune des obligations et des attentes.","['Agilitaton – Conditons générales de partenariat \n\n1.Définitons de certains termes applicables aux CGP \n\na.Dans les CGP, certains termes font l’objet d’une définition prévue dans cet article afin d’éviter toute ambigüité entre les parties quant à leur signification exacte. \nb.Ces définitions s’imposent donc aux Parties. \n- Annexe(s) : désigne le(s) document(s) que les parties rédigent séparément et joignent au contrat. L’annexe s’intègre aux CGP et constitue un tout indissociable avec lui. Contrat ou CGP : il s’agit des présentes conditions générales également \n- Obligation de moyen : engagement contractuel qui astreint une Partie à mettre en œuvre les moyens et techniques les plus efficaces connus au jour de la signature de la convention pour atteindre le résultat fixé par le contrat. \n- Partie(s) : ce terme désigne individuellement ou collectivement le Partenaire et Agilitation \n- Partenaire : désigne la Partie qui contracte avec la SAS Agilitation. \n- RGPD : ou « règlement général sur la protection des données » Règlement (UE) 2016/679 du Parlement Européen et du Conseil du 27 avril 2016 : il s’agit du règlement européen protégeant les données à caractère personnelles Supports : partenaires commerciaux supports de diffusion des campagnes de marketing mises en place par Agilitation \n\n2.Objet du contrat. \na.Le Contrat fixe les règles de collaboration entre les parties et prime sur tout autre document contractuel qui est dès lors inopposable à Agilitation. \nb.Le Contrat peut être complété par des annexes qui peuvent y déroger et/ou le compléter dès lors qu’elles sont signées par les Parties. \n\n3.Compréhension des objectifs poursuivis par le Contrat. \na.En signant le Contrat, les Parties déclarent qu’elles ont pu exprimer l’ensemble de leurs demandes. \nb.Les Parties déclarent qu’elles ont pu obtenir toutes les réponses à leurs questions et que le périmètre des missions confiées a parfaitement été compris et accepté.\n\n\n4.Collaboration des parties\na.Les Parties conviennent de collaborer activement pour atteindre les objectifs de leur partenariat.\nb.Quand la mise en place d’une démarche nécessite un accord préalable d’une Partie, les Parties font preuve de réactivité pour formaliser une réponse.\nc.']",1.0,0.9385770436469906,0.047619047619047616
1,l'annexe peut-elle être séparée des GCP?,"Selon les Conditions générales de partenariat (CGP) fournies, l'annexe ne peut pas être séparée des CGP. Elle est définie comme un document que les parties rédigent séparément et joignent au contrat. L'annexe s'intègre aux CGP et constitue un tout indissociable avec lui. De plus, le contrat peut être complété par des annexes qui peuvent y déroger et/ou le compléter dès lors qu'elles sont signées par les parties.","['Agilitaton – Conditons générales de partenariat \n\n1.Définitons de certains termes applicables aux CGP \n\na.Dans les CGP, certains termes font l’objet d’une définition prévue dans cet article afin d’éviter toute ambigüité entre les parties quant à leur signification exacte. \nb.Ces définitions s’imposent donc aux Parties. \n- Annexe(s) : désigne le(s) document(s) que les parties rédigent séparément et joignent au contrat. L’annexe s’intègre aux CGP et constitue un tout indissociable avec lui. Contrat ou CGP : il s’agit des présentes conditions générales également \n- Obligation de moyen : engagement contractuel qui astreint une Partie à mettre en œuvre les moyens et techniques les plus efficaces connus au jour de la signature de la convention pour atteindre le résultat fixé par le contrat. \n- Partie(s) : ce terme désigne individuellement ou collectivement le Partenaire et Agilitation \n- Partenaire : désigne la Partie qui contracte avec la SAS Agilitation. \n- RGPD : ou « règlement général sur la protection des données » Règlement (UE) 2016/679 du Parlement Européen et du Conseil du 27 avril 2016 : il s’agit du règlement européen protégeant les données à caractère personnelles Supports : partenaires commerciaux supports de diffusion des campagnes de marketing mises en place par Agilitation \n\n2.Objet du contrat. \na.Le Contrat fixe les règles de collaboration entre les parties et prime sur tout autre document contractuel qui est dès lors inopposable à Agilitation. \nb.Le Contrat peut être complété par des annexes qui peuvent y déroger et/ou le compléter dès lors qu’elles sont signées par les Parties. \n\n3.Compréhension des objectifs poursuivis par le Contrat. \na.En signant le Contrat, les Parties déclarent qu’elles ont pu exprimer l’ensemble de leurs demandes. \nb.Les Parties déclarent qu’elles ont pu obtenir toutes les réponses à leurs questions et que le périmètre des missions confiées a parfaitement été compris et accepté.\n\n\n4.Collaboration des parties\na.Les Parties conviennent de collaborer activement pour atteindre les objectifs de leur partenariat.\nb.Quand la mise en place d’une démarche nécessite un accord préalable d’une Partie, les Parties font preuve de réactivité pour formaliser une réponse.\nc.']",1.0,0.8402942611323331,0.047619047619047616
2,Par quel terem générique est désigné le GCP?,"Le terme générique par lequel est désigné le GCP est ""Contrat"" ou ""Conditions Générales de Partenariat"".","['Agilitaton – Conditons générales de partenariat \n\n1.Définitons de certains termes applicables aux CGP \n\na.Dans les CGP, certains termes font l’objet d’une définition prévue dans cet article afin d’éviter toute ambigüité entre les parties quant à leur signification exacte. \nb.Ces définitions s’imposent donc aux Parties. \n- Annexe(s) : désigne le(s) document(s) que les parties rédigent séparément et joignent au contrat. L’annexe s’intègre aux CGP et constitue un tout indissociable avec lui. Contrat ou CGP : il s’agit des présentes conditions générales également \n- Obligation de moyen : engagement contractuel qui astreint une Partie à mettre en œuvre les moyens et techniques les plus efficaces connus au jour de la signature de la convention pour atteindre le résultat fixé par le contrat. \n- Partie(s) : ce terme désigne individuellement ou collectivement le Partenaire et Agilitation \n- Partenaire : désigne la Partie qui contracte avec la SAS Agilitation. \n- RGPD : ou « règlement général sur la protection des données » Règlement (UE) 2016/679 du Parlement Européen et du Conseil du 27 avril 2016 : il s’agit du règlement européen protégeant les données à caractère personnelles Supports : partenaires commerciaux supports de diffusion des campagnes de marketing mises en place par Agilitation \n\n2.Objet du contrat. \na.Le Contrat fixe les règles de collaboration entre les parties et prime sur tout autre document contractuel qui est dès lors inopposable à Agilitation. \nb.Le Contrat peut être complété par des annexes qui peuvent y déroger et/ou le compléter dès lors qu’elles sont signées par les Parties. \n\n3.Compréhension des objectifs poursuivis par le Contrat. \na.En signant le Contrat, les Parties déclarent qu’elles ont pu exprimer l’ensemble de leurs demandes. \nb.Les Parties déclarent qu’elles ont pu obtenir toutes les réponses à leurs questions et que le périmètre des missions confiées a parfaitement été compris et accepté.\n\n\n4.Collaboration des parties\na.Les Parties conviennent de collaborer activement pour atteindre les objectifs de leur partenariat.\nb.Quand la mise en place d’une démarche nécessite un accord préalable d’une Partie, les Parties font preuve de réactivité pour formaliser une réponse.\nc.']",1.0,0.940746225586638,0.047619047619047616
3,Quelle est la signification de RGPD?,"La signification de RGPD est ""règlement général sur la protection des données"". Il s'agit du Règlement (UE) 2016/679 du Parlement Européen et du Conseil du 27 avril 2016, qui est un règlement européen protégeant les données à caractère personnel.","['Agilitaton – Conditons générales de partenariat \n\n1.Définitons de certains termes applicables aux CGP \n\na.Dans les CGP, certains termes font l’objet d’une définition prévue dans cet article afin d’éviter toute ambigüité entre les parties quant à leur signification exacte. \nb.Ces définitions s’imposent donc aux Parties. \n- Annexe(s) : désigne le(s) document(s) que les parties rédigent séparément et joignent au contrat. L’annexe s’intègre aux CGP et constitue un tout indissociable avec lui. Contrat ou CGP : il s’agit des présentes conditions générales également \n- Obligation de moyen : engagement contractuel qui astreint une Partie à mettre en œuvre les moyens et techniques les plus efficaces connus au jour de la signature de la convention pour atteindre le résultat fixé par le contrat. \n- Partie(s) : ce terme désigne individuellement ou collectivement le Partenaire et Agilitation \n- Partenaire : désigne la Partie qui contracte avec la SAS Agilitation. \n- RGPD : ou « règlement général sur la protection des données » Règlement (UE) 2016/679 du Parlement Européen et du Conseil du 27 avril 2016 : il s’agit du règlement européen protégeant les données à caractère personnelles Supports : partenaires commerciaux supports de diffusion des campagnes de marketing mises en place par Agilitation \n\n2.Objet du contrat. \na.Le Contrat fixe les règles de collaboration entre les parties et prime sur tout autre document contractuel qui est dès lors inopposable à Agilitation. \nb.Le Contrat peut être complété par des annexes qui peuvent y déroger et/ou le compléter dès lors qu’elles sont signées par les Parties. \n\n3.Compréhension des objectifs poursuivis par le Contrat. \na.En signant le Contrat, les Parties déclarent qu’elles ont pu exprimer l’ensemble de leurs demandes. \nb.Les Parties déclarent qu’elles ont pu obtenir toutes les réponses à leurs questions et que le périmètre des missions confiées a parfaitement été compris et accepté.\n\n\n4.Collaboration des parties\na.Les Parties conviennent de collaborer activement pour atteindre les objectifs de leur partenariat.\nb.Quand la mise en place d’une démarche nécessite un accord préalable d’une Partie, les Parties font preuve de réactivité pour formaliser une réponse.\nc.']",1.0,0.9999999999999997,0.047619047619047616
4,De quand date le RGPD?,"Le RGPD, ou « règlement général sur la protection des données » Règlement (UE) 2016/679, date du 27 avril 2016.","['Agilitaton – Conditons générales de partenariat \n\n1.Définitons de certains termes applicables aux CGP \n\na.Dans les CGP, certains termes font l’objet d’une définition prévue dans cet article afin d’éviter toute ambigüité entre les parties quant à leur signification exacte. \nb.Ces définitions s’imposent donc aux Parties. \n- Annexe(s) : désigne le(s) document(s) que les parties rédigent séparément et joignent au contrat. L’annexe s’intègre aux CGP et constitue un tout indissociable avec lui. Contrat ou CGP : il s’agit des présentes conditions générales également \n- Obligation de moyen : engagement contractuel qui astreint une Partie à mettre en œuvre les moyens et techniques les plus efficaces connus au jour de la signature de la convention pour atteindre le résultat fixé par le contrat. \n- Partie(s) : ce terme désigne individuellement ou collectivement le Partenaire et Agilitation \n- Partenaire : désigne la Partie qui contracte avec la SAS Agilitation. \n- RGPD : ou « règlement général sur la protection des données » Règlement (UE) 2016/679 du Parlement Européen et du Conseil du 27 avril 2016 : il s’agit du règlement européen protégeant les données à caractère personnelles Supports : partenaires commerciaux supports de diffusion des campagnes de marketing mises en place par Agilitation \n\n2.Objet du contrat. \na.Le Contrat fixe les règles de collaboration entre les parties et prime sur tout autre document contractuel qui est dès lors inopposable à Agilitation. \nb.Le Contrat peut être complété par des annexes qui peuvent y déroger et/ou le compléter dès lors qu’elles sont signées par les Parties. \n\n3.Compréhension des objectifs poursuivis par le Contrat. \na.En signant le Contrat, les Parties déclarent qu’elles ont pu exprimer l’ensemble de leurs demandes. \nb.Les Parties déclarent qu’elles ont pu obtenir toutes les réponses à leurs questions et que le périmètre des missions confiées a parfaitement été compris et accepté.\n\n\n4.Collaboration des parties\na.Les Parties conviennent de collaborer activement pour atteindre les objectifs de leur partenariat.\nb.Quand la mise en place d’une démarche nécessite un accord préalable d’une Partie, les Parties font preuve de réactivité pour formaliser une réponse.\nc.']",1.0,0.9109377396784618,0.047619047619047616
5,Sur quoi prévaut le contract et ses règles de collaboration?,"Le contrat et ses règles de collaboration prévalent sur plusieurs aspects. Ils prévalent sur la communication entre les parties pour la réalisation des prestations, sur la considération des qualités du partenaire (intuitu personae), sur la désignation et le remplacement du personnel référent, sur les missions détaillées du partenaire, et sur l'obligation générale de conseil du partenaire. De plus, le contrat stipule que le partenaire ne peut pas transférer ou céder ses droits et obligations sans accord écrit, et qu'il peut sous-traiter certaines de ses missions en respectant les règles du contrat. Enfin, le contrat prévoit que le partenaire doit respecter la réglementation en vigueur et remettre des livrables libres de tous droits.","['Les Parties se communiquent les éléments nécessaires à la réalisation des prestations dans les meilleurs délais ou dans le respect des dispositions particulières prévues entre eux.\n\n\n5.Intuitu personae\na.Le contrat est conclu en considération des qualités du Partenaire (intuitu personae)\nb.Le Partenaire ne peut pas transférer ou céder une partie ou la totalité des droits et obligations prévus par le Contrat et/ ou ses Annexes à quelqu’un d’autre, sauf accord écrit d’Agilitation.\nc.Le Partenaire peut cependant sous-traiter certaines de ses missions, sous réserve du respect des règles qui s’appliquent à ce cas de figure dans le Contrat.\n\n\n6.Personnel référant, désignation & remplacement. \na.Les parties peuvent désigner chacune une personne référente sur les projets en cours pour fluidifier les échanges. \nb. Ces personnes doivent alors être en mesure d’accepter ou de refuser rapidement les propositions techniques proposées par le Partenaire et de faire les choix nécessaires à l’avancée des missions pour éviter des retards de mise en place et/ou de déploiements des prestations attendues. \nc.Les parties remplacent sans délai le référent désigné dès que c’est nécessaire.\u2028d.Les parties s’informent sans délai de l’absence de ces \npersonnes si cela peut affecter le bon déroulement des \nmissions à accomplir.\u2028e.Les Parties ne peuvent s’opposer le défaut d’habilitation d’une personne si elles n’ont désigné aucun référent et devront assumer la responsabilité liée à la demande formalisée par ce canal. \n\n7.Missions \na.Les missions du Partenaire sont détaillées avec précision en Annexe du Contrat. \nb.Le Partenaire rend compte de ses missions dans les conditions prévues au Contrat. \nc.Agilitation demeure en tout état de cause seule décisionnaire finale des choix stratégiques opérés pour la mise en place différentes actions réalisées par le Partenaire. \n\n8.Obligation générale de conseil. \na.Le Partenaire est tenu dans l’exécution de ses missions à une obligation générale de conseil et de respect de la réglementation en vigueur. \nb.Le Partenaire s’engage notamment à effectuer les prestations et/ou à remettre les livrables libre(s) de tous droits dans la limite des recherches pouvant être accomplies et de l’information qu’Agilitation lui aura communiqué. \nc.']",0.3333333333333333,0.9447321491463754,0.047619047619047616
6,Par quoi peut être complété le contract?,"Le contrat peut être complété par des annexes détaillant les missions du Partenaire, des accords écrits concernant la sous-traitance ou le transfert de droits et obligations, la désignation de personnes référentes pour les projets, et des obligations générales de conseil et de respect de la réglementation en vigueur.","['Les Parties se communiquent les éléments nécessaires à la réalisation des prestations dans les meilleurs délais ou dans le respect des dispositions particulières prévues entre eux.\n\n\n5.Intuitu personae\na.Le contrat est conclu en considération des qualités du Partenaire (intuitu personae)\nb.Le Partenaire ne peut pas transférer ou céder une partie ou la totalité des droits et obligations prévus par le Contrat et/ ou ses Annexes à quelqu’un d’autre, sauf accord écrit d’Agilitation.\nc.Le Partenaire peut cependant sous-traiter certaines de ses missions, sous réserve du respect des règles qui s’appliquent à ce cas de figure dans le Contrat.\n\n\n6.Personnel référant, désignation & remplacement. \na.Les parties peuvent désigner chacune une personne référente sur les projets en cours pour fluidifier les échanges. \nb. Ces personnes doivent alors être en mesure d’accepter ou de refuser rapidement les propositions techniques proposées par le Partenaire et de faire les choix nécessaires à l’avancée des missions pour éviter des retards de mise en place et/ou de déploiements des prestations attendues. \nc.Les parties remplacent sans délai le référent désigné dès que c’est nécessaire.\u2028d.Les parties s’informent sans délai de l’absence de ces \npersonnes si cela peut affecter le bon déroulement des \nmissions à accomplir.\u2028e.Les Parties ne peuvent s’opposer le défaut d’habilitation d’une personne si elles n’ont désigné aucun référent et devront assumer la responsabilité liée à la demande formalisée par ce canal. \n\n7.Missions \na.Les missions du Partenaire sont détaillées avec précision en Annexe du Contrat. \nb.Le Partenaire rend compte de ses missions dans les conditions prévues au Contrat. \nc.Agilitation demeure en tout état de cause seule décisionnaire finale des choix stratégiques opérés pour la mise en place différentes actions réalisées par le Partenaire. \n\n8.Obligation générale de conseil. \na.Le Partenaire est tenu dans l’exécution de ses missions à une obligation générale de conseil et de respect de la réglementation en vigueur. \nb.Le Partenaire s’engage notamment à effectuer les prestations et/ou à remettre les livrables libre(s) de tous droits dans la limite des recherches pouvant être accomplies et de l’information qu’Agilitation lui aura communiqué. \nc.']",1.0,0.9016494607176609,0.47619047619047616
7,Quelle est la condition pour que les annexes dérogent ou complètent le contract?,La condition pour que les annexes dérogent ou complètent le contrat est qu'elles soient signées par les Parties.,"['Agilitaton – Conditons générales de partenariat \n\n1.Définitons de certains termes applicables aux CGP \n\na.Dans les CGP, certains termes font l’objet d’une définition prévue dans cet article afin d’éviter toute ambigüité entre les parties quant à leur signification exacte. \nb.Ces définitions s’imposent donc aux Parties. \n- Annexe(s) : désigne le(s) document(s) que les parties rédigent séparément et joignent au contrat. L’annexe s’intègre aux CGP et constitue un tout indissociable avec lui. Contrat ou CGP : il s’agit des présentes conditions générales également \n- Obligation de moyen : engagement contractuel qui astreint une Partie à mettre en œuvre les moyens et techniques les plus efficaces connus au jour de la signature de la convention pour atteindre le résultat fixé par le contrat. \n- Partie(s) : ce terme désigne individuellement ou collectivement le Partenaire et Agilitation \n- Partenaire : désigne la Partie qui contracte avec la SAS Agilitation. \n- RGPD : ou « règlement général sur la protection des données » Règlement (UE) 2016/679 du Parlement Européen et du Conseil du 27 avril 2016 : il s’agit du règlement européen protégeant les données à caractère personnelles Supports : partenaires commerciaux supports de diffusion des campagnes de marketing mises en place par Agilitation \n\n2.Objet du contrat. \na.Le Contrat fixe les règles de collaboration entre les parties et prime sur tout autre document contractuel qui est dès lors inopposable à Agilitation. \nb.Le Contrat peut être complété par des annexes qui peuvent y déroger et/ou le compléter dès lors qu’elles sont signées par les Parties. \n\n3.Compréhension des objectifs poursuivis par le Contrat. \na.En signant le Contrat, les Parties déclarent qu’elles ont pu exprimer l’ensemble de leurs demandes. \nb.Les Parties déclarent qu’elles ont pu obtenir toutes les réponses à leurs questions et que le périmètre des missions confiées a parfaitement été compris et accepté.\n\n\n4.Collaboration des parties\na.Les Parties conviennent de collaborer activement pour atteindre les objectifs de leur partenariat.\nb.Quand la mise en place d’une démarche nécessite un accord préalable d’une Partie, les Parties font preuve de réactivité pour formaliser une réponse.\nc.']",1.0,0.9978159382516166,0.047619047619047616
8,La signature du contract par les parties engage ...,"La signature du contrat par les parties engage leur responsabilité dans le respect des obligations et des dispositions prévues dans le contrat. Cela inclut la communication des éléments nécessaires à la réalisation des prestations, le respect des règles d'intuitu personae, la désignation et le remplacement du personnel référent, l'exécution des missions détaillées dans le contrat, et l'obligation générale de conseil. Le partenaire ne peut pas transférer ou céder ses droits et obligations sans un accord écrit. Les parties sont également tenues de remplacer le référent désigné si nécessaire et d'informer l'autre partie de toute absence qui pourrait affecter le bon déroulement des missions. Enfin, le partenaire est tenu à une obligation générale de conseil et de respect de la réglementation en vigueur.","['Les Parties se communiquent les éléments nécessaires à la réalisation des prestations dans les meilleurs délais ou dans le respect des dispositions particulières prévues entre eux.\n\n\n5.Intuitu personae\na.Le contrat est conclu en considération des qualités du Partenaire (intuitu personae)\nb.Le Partenaire ne peut pas transférer ou céder une partie ou la totalité des droits et obligations prévus par le Contrat et/ ou ses Annexes à quelqu’un d’autre, sauf accord écrit d’Agilitation.\nc.Le Partenaire peut cependant sous-traiter certaines de ses missions, sous réserve du respect des règles qui s’appliquent à ce cas de figure dans le Contrat.\n\n\n6.Personnel référant, désignation & remplacement. \na.Les parties peuvent désigner chacune une personne référente sur les projets en cours pour fluidifier les échanges. \nb. Ces personnes doivent alors être en mesure d’accepter ou de refuser rapidement les propositions techniques proposées par le Partenaire et de faire les choix nécessaires à l’avancée des missions pour éviter des retards de mise en place et/ou de déploiements des prestations attendues. \nc.Les parties remplacent sans délai le référent désigné dès que c’est nécessaire.\u2028d.Les parties s’informent sans délai de l’absence de ces \npersonnes si cela peut affecter le bon déroulement des \nmissions à accomplir.\u2028e.Les Parties ne peuvent s’opposer le défaut d’habilitation d’une personne si elles n’ont désigné aucun référent et devront assumer la responsabilité liée à la demande formalisée par ce canal. \n\n7.Missions \na.Les missions du Partenaire sont détaillées avec précision en Annexe du Contrat. \nb.Le Partenaire rend compte de ses missions dans les conditions prévues au Contrat. \nc.Agilitation demeure en tout état de cause seule décisionnaire finale des choix stratégiques opérés pour la mise en place différentes actions réalisées par le Partenaire. \n\n8.Obligation générale de conseil. \na.Le Partenaire est tenu dans l’exécution de ses missions à une obligation générale de conseil et de respect de la réglementation en vigueur. \nb.Le Partenaire s’engage notamment à effectuer les prestations et/ou à remettre les livrables libre(s) de tous droits dans la limite des recherches pouvant être accomplies et de l’information qu’Agilitation lui aura communiqué. \nc.']",1.0,0.8384969894470004,0.047619047619047616
9,Les parties doivent-elles colllaborer pour atteindre l'objectif? Ou bien que l'une des deux?,"Les deux parties doivent collaborer pour atteindre l'objectif. Les documents indiquent que les parties se communiquent les éléments nécessaires à la réalisation des prestations et peuvent désigner chacune une personne référente pour faciliter les échanges. De plus, le partenaire a une obligation générale de conseil et doit respecter la réglementation en vigueur. Cependant, Agilitation demeure la seule décisionnaire finale des choix stratégiques.","['Les Parties se communiquent les éléments nécessaires à la réalisation des prestations dans les meilleurs délais ou dans le respect des dispositions particulières prévues entre eux.\n\n\n5.Intuitu personae\na.Le contrat est conclu en considération des qualités du Partenaire (intuitu personae)\nb.Le Partenaire ne peut pas transférer ou céder une partie ou la totalité des droits et obligations prévus par le Contrat et/ ou ses Annexes à quelqu’un d’autre, sauf accord écrit d’Agilitation.\nc.Le Partenaire peut cependant sous-traiter certaines de ses missions, sous réserve du respect des règles qui s’appliquent à ce cas de figure dans le Contrat.\n\n\n6.Personnel référant, désignation & remplacement. \na.Les parties peuvent désigner chacune une personne référente sur les projets en cours pour fluidifier les échanges. \nb. Ces personnes doivent alors être en mesure d’accepter ou de refuser rapidement les propositions techniques proposées par le Partenaire et de faire les choix nécessaires à l’avancée des missions pour éviter des retards de mise en place et/ou de déploiements des prestations attendues. \nc.Les parties remplacent sans délai le référent désigné dès que c’est nécessaire.\u2028d.Les parties s’informent sans délai de l’absence de ces \npersonnes si cela peut affecter le bon déroulement des \nmissions à accomplir.\u2028e.Les Parties ne peuvent s’opposer le défaut d’habilitation d’une personne si elles n’ont désigné aucun référent et devront assumer la responsabilité liée à la demande formalisée par ce canal. \n\n7.Missions \na.Les missions du Partenaire sont détaillées avec précision en Annexe du Contrat. \nb.Le Partenaire rend compte de ses missions dans les conditions prévues au Contrat. \nc.Agilitation demeure en tout état de cause seule décisionnaire finale des choix stratégiques opérés pour la mise en place différentes actions réalisées par le Partenaire. \n\n8.Obligation générale de conseil. \na.Le Partenaire est tenu dans l’exécution de ses missions à une obligation générale de conseil et de respect de la réglementation en vigueur. \nb.Le Partenaire s’engage notamment à effectuer les prestations et/ou à remettre les livrables libre(s) de tous droits dans la limite des recherches pouvant être accomplies et de l’information qu’Agilitation lui aura communiqué. \nc.']",0.75,0.8402197266207935,0.047619047619047616
